execution_time,total_num_contours,num_biggest_contours,num_rectangles_before_split,photos_areas,success,picture_name,rm_black_edges,add_white_margin,blur_method,blur_parameters,threshold,threshold_method,threshold_min,threshold_max,split_contours,true_num_pictures,num_contours_after_split,num_points_per_contour,config_num
27/01/2023 20:17:01,216,2,1,"[17224311.5, 8476572.0]",True,mamie0025.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[5, 5, 4]",2
27/01/2023 20:17:08,220,3,3,"[8617743.5, 8614728.0, 8588449.0]",True,mamie0026.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:17:14,191,3,3,"[8668987.0, 8630303.5, 8632062.0]",True,mamie0027.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:17:21,205,3,3,"[8644067.0, 8616664.5, 8608016.5]",True,mamie0028.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:17:28,201,3,3,"[8696991.0, 8702348.0, 8689711.0]",True,mamie0029.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:17:34,219,2,1,"[17394292.0, 8654321.0]",True,mamie0030.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[5, 5, 4]",2
27/01/2023 20:17:40,184,3,3,"[8711543.0, 8686164.0, 8645390.5]",True,mamie0031.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:17:47,2037,3,2,"[7653998.0, 7311684.0, 7230387.0]",False,mamie0032.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[8, 4, 4]",2
27/01/2023 20:17:53,309,2,2,"[10150475.0, 10141090.5]",True,mamie0033.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,2,2,"[4, 4]",2
27/01/2023 20:17:58,772,3,3,"[10164304.5, 10179166.5, 7160807.5]",True,mamie0034.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:18:05,354,1,0,[20369145.0],True,mamie0035.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,2,2,"[5, 5]",2
27/01/2023 20:18:11,239,3,3,"[8688004.0, 8676743.5, 8673665.0]",True,mamie0036.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
27/01/2023 20:18:17,205,2,1,"[17402499.5, 8665638.5]",False,mamie0037.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[6, 7, 4]",2
27/01/2023 20:18:23,223,2,1,"[17461471.0, 8661869.0]",True,mamie0038.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[5, 5, 4]",2
27/01/2023 20:18:29,206,3,3,"[8506419.5, 8478112.5, 8426110.5]",True,mamie0039.jpg,True,True,GaussianBlur,"kernelsize = (3, 3)",True,THRESH_BINARY_INV,245,255,True,3,3,"[4, 4, 4]",2
